 Price ,Area,Location,Bedrooms,Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,Security 24x7,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5400000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5300000,660,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
14000000,1550,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
17100000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
11800000,1475,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
6000000,759,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4850000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
4100000,620,Kharghar,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5500000,745,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
4500000,580,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5300000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
19000000,1845,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
16500000,1585,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
8600000,1350,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
10000000,1075,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
10500000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
4700000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
6200000,720,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
6900000,735,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
4500000,580,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
10000000,1505,Kharghar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
11000000,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
13000000,1455,Sector 18 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
10500000,1098,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
13000000,1210,Sector 15 Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
16200000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
15000000,1440,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
13200000,1370,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
7500000,1022,Sector 18 Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
15000000,1760,Kharghar,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1
7500000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
13000000,1550,Sector 20 Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
16200000,1675,Kharghar,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1
11000000,1060,Kharghar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11600000,1150,Kharghar,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
5600000,670,Kharghar,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
8000000,900,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
9500000,1088,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0
2018000,375,Dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
65000000,1200,Churchgate,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45000000,1717,Prabhadevi,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
16500000,750,Jogeshwari West,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2375000,525,Kalyan East,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
19500000,1200,Malad East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000,420,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2500000,540,Virar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250000,415,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2700000,650,Virar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22000000,1100,Malad West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
17000000,1105,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
43500000,2600,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4760000,700,Mira Road East,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
18100000,1296,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
23800000,1638,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21200000,1465,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
8600000,700,Borivali East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
36500000,2030,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
23700000,1450,Malad West,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
21400000,1100,Malad West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12500000,800,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
18000000,1500,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13200000,1100,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
35300000,1962,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
15300000,950,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
25000000,1440,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13899999,1200,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
33500000,1785,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
14500000,775,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9000000,765,Kandivali West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13500000,910,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9000000,640,Goregaon West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
21600000,1264,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
13700000,1056,Kandivali West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
27799999,1810,Kandivali East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
27900000,1656,Goregaon West,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
81600000,3888,Goregaon West,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1
38600000,2030,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
17000000,1114,Andheri East,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1
60100000,3585,Goregaon West,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1
27900000,1404,Goregaon East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
31500000,1620,Goregaon East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
37500000,2780,Malad East,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
31000000,1672,Malad East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
21100000,1200,Malad East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
16500000,1200,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
16000000,1250,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
26000000,1840,Borivali East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
15200000,1170,Malad West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
2300000,310,Kharghar,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
33000000,1245,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
29000000,1153,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
11200000,573,Ulwe,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
9000000,1100,Ulwe,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
8500000,1135,Ulwe,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1
9000000,1060,Kharghar,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
11500000,560,Malad West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12100000,1150,Dahisar,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1
11000000,1054,kandivali,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
27000000,1695,Goregaon,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
21600000,1579,Goregaon,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
30200000,2153,Goregaon,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
41200000,1872,Goregaon,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1
30500000,1717,Goregaon,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
36700000,1675,Goregaon East,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1
23800000,1672,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
20500000,1457,Malad East,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1
5500000,425,Bhandup West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000000,560,thakur village kandivali east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32500000,1200,Santacruz West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8500000,575,Kanjurmarg,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
9000000,400,Borivali East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
